"message_id","F09F918D","F09F9881","E29DA4","F09F918F","F09F918E","F09FA4A3","F09FA4A1","F09F94A5","F09F928A","F09FA494","F09F92AF","F09F98B1","F09F998F","F09F918C","F09F958A","F09F8DBE","F09FA4B7","other"
132828,212,0,14,3,5,0,0,0,0,0,54,0,0,0,0,0,0,0
132965,212,0,12,0,0,0,5,0,0,0,39,0,0,0,0,0,0,0
133588,212,0,46,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
136149,212,0,4,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
128211,211,0,10,0,0,0,0,0,0,2,36,0,0,0,0,0,0,1
132718,211,0,20,3,0,0,0,0,0,0,7,0,1,0,0,0,0,3
134694,211,5,0,1,0,0,0,3,1,21,13,0,0,1,0,0,0,1
136374,211,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3
125944,210,0,57,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
126779,210,2,4,6,1,0,10,0,0,0,0,0,0,13,0,0,0,0
126914,210,0,0,3,4,0,0,2,0,0,40,0,0,0,0,0,0,16
130670,210,0,3,0,5,0,1,0,0,0,70,6,1,0,8,0,0,11
130944,210,1,14,42,0,0,0,0,0,0,5,0,0,0,0,2,0,0
131161,210,27,0,1,0,4,0,0,0,10,0,0,0,0,0,0,0,0
131673,210,0,18,0,0,0,0,0,0,2,9,0,0,7,0,0,0,0
134960,210,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126676,209,0,16,6,0,0,1,0,0,0,14,0,0,24,0,0,0,0
126782,209,0,11,29,0,0,0,0,0,0,20,0,0,0,0,0,0,0
133759,209,0,4,0,0,0,2,0,0,1,59,0,0,0,0,0,0,0
136114,209,0,3,7,0,0,0,0,0,0,40,0,0,0,0,0,0,1
136705,209,2,1,0,0,9,2,0,0,0,0,0,0,16,0,0,0,0
128011,208,0,37,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0
130667,208,0,37,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0
131586,208,0,14,0,0,0,0,2,0,5,0,0,0,0,0,30,0,0
131934,208,0,8,0,0,0,0,0,0,0,27,0,0,2,0,0,0,0
132355,208,0,30,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0
132370,208,0,4,16,0,0,0,0,0,0,0,0,0,7,0,0,0,0
134059,208,0,1,0,0,3,0,0,0,2,15,0,9,17,0,0,0,0
128442,207,0,22,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0
