"","src_username","dst_username","log_forward_time","cat_forward_time"
"212","casusbellilive","ksbspravy",3.65127801399814,4
"213","casusbellilive","investigativnyblogSK",2.95999483832842,3
"214","casusbellilive","mimisramova",2.51188336097887,3
"215","casusbellilive","investigativnyblogSK",1.07918124604762,1.5
"216","casusbellilive","mimisramova",2.84073323461181,3
"217","casusbellilive","mimisramova",3.00130093302042,3.5
"218","casusbellilive","slovanskenoviny",1.85125834871908,2
"219","casusbellilive","mimisramova",4.01102035551626,4.5
"220","casusbellilive","investigativnyblogSK",3.3070679506613,3.5
"221","casusbellilive","investigativnyblogSK",1.11394335230684,1.5
"222","casusbellilive","investigativnyblogSK",0.845098040014257,1
"223","casusbellilive","investigativnyblogSK",1.07918124604762,1.5
"224","casusbellilive","investigativnyblogSK",0.903089986991944,1
"225","casusbellilive","investigativnyblogSK",0.903089986991944,1
"226","casusbellilive","investigativnyblogSK",0.778151250383644,1
"227","casusbellilive","investigativnyblogSK",2.90955602924118,3
"228","casusbellilive","investigativnyblogSK",1.11394335230684,1.5
"229","casusbellilive","mimisramova",3.27760921430409,3.5
"230","casusbellilive","investigativnyblogSK",0.954242509439325,1
"231","casusbellilive","investigativnyblogSK",1.07918124604762,1.5
"232","casusbellilive","coNemateVedet",1.32221929473392,1.5
"233","casusbellilive","mimisramova",1.57978359661681,2
"234","casusbellilive","investigativnyblogSK",1.50514997831991,2
"235","casusbellilive","investigativnyblogSK",0.903089986991944,1
"236","casusbellilive","mimisramova",2.90363251608424,3
"237","casusbellilive","investigativnyblogSK",0.903089986991944,1
"238","casusbellilive","investigativnyblogSK",0.845098040014257,1
"239","casusbellilive","investigativnyblogSK",0.698970004336019,1
"240","casusbellilive","investigativnyblogSK",0.778151250383644,1
"241","casusbellilive","investigativnyblogSK",0.903089986991944,1
"242","casusbellilive","investigativnyblogSK",0.903089986991944,1
"243","casusbellilive","investigativnyblogSK",1.20411998265592,1.5
"244","casusbellilive","investigativnyblogSK",1.20411998265592,1.5
"245","casusbellilive","mimisramova",3.88530466758897,4
"246","casusbellilive","mimisramova",2.50105926221775,3
"247","casusbellilive","mimisramova",1.53147891704226,2
"248","casusbellilive","investigativnyblogSK",0.698970004336019,1
"249","casusbellilive","smebratia",3.39532639306935,3.5
"250","casusbellilive","mimisramova",3.37767043933432,3.5
"251","casusbellilive","investigativnyblogSK",0.845098040014257,1
"252","casusbellilive","mimisramova",3.25358028956218,3.5
"253","casusbellilive","mimisramova",2.86332286012046,3
"254","casusbellilive","investigativnyblogSK",0.845098040014257,1
"255","casusbellilive","smebratia",2.46089784275655,2.5
"256","casusbellilive","mimisramova",1.97772360528885,2
