"message_id","F09F918D","F09F9881","F09FA4AE","E29DA4","F09FA4AC","F09F918F","F09F918E","F09FA4A3","F09F92A9","F09FA4A1","F09F94A5","F09F928A","F09FA494","F09F92AF","F09F98A2","F09F98B1","F09F998F","F09F918C","F09F9695","F09F958A","F09F9988","F09FA4AF","F09F98A1","F09F8DBE","F09FA4B7","other"
22473,937,1,0,175,0,0,0,0,0,0,0,0,1,18,0,0,0,12,0,0,0,0,0,0,0,4
28434,937,7,0,9,0,7,0,0,0,0,0,0,0,61,0,0,0,10,0,0,0,0,0,97,0,0
31319,937,0,0,110,0,100,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
27246,936,0,0,180,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0
26332,931,0,0,200,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
31928,930,2,4,15,7,72,0,0,0,0,0,0,0,33,0,0,0,1,0,0,0,0,0,2,0,1
29207,929,0,3,47,0,177,0,0,0,0,2,0,0,0,0,0,11,1,0,0,0,0,0,42,2,0
21845,928,19,0,0,0,173,0,72,0,0,0,0,0,38,0,0,0,4,0,0,0,0,0,0,1,0
24465,925,36,0,3,0,118,0,27,1,14,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5
34769,925,6,194,21,0,0,0,0,0,28,0,13,0,53,0,0,0,0,15,0,26,0,0,0,0,4
30279,924,0,3,32,0,122,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
27461,923,0,0,47,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32006,923,0,2,18,2,97,3,0,0,0,1,0,0,75,0,4,0,0,0,0,0,0,0,0,1,1
22686,921,0,0,45,0,17,0,0,0,4,0,0,0,85,0,0,11,1,0,2,0,0,0,0,1,0
24429,919,73,15,87,0,31,0,54,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0
30307,919,9,0,47,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36738,918,0,0,11,0,11,0,0,0,0,0,0,0,54,0,0,14,0,3,0,0,0,0,0,10,47
21805,916,0,2,47,0,111,0,0,0,0,2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
32221,916,39,1,42,0,120,2,0,2,0,0,0,0,26,0,0,0,5,1,0,0,0,0,0,0,2
22885,915,1,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
27531,915,0,0,107,0,52,0,0,0,0,0,0,0,33,0,0,0,3,0,0,0,0,0,0,0,0
32198,915,0,0,13,0,118,0,0,3,2,0,0,0,49,0,0,0,37,0,0,0,0,2,0,0,0
23515,909,0,0,11,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0
23741,909,0,0,61,0,87,1,0,0,5,0,0,0,35,0,0,0,18,1,0,0,0,0,0,0,2
25602,909,1,0,155,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
21549,905,5,0,233,0,54,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,3
34739,905,0,0,35,0,143,0,0,3,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,9
21113,904,0,0,29,0,153,0,0,4,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0
27985,904,0,0,57,0,55,0,0,0,2,0,0,0,16,0,0,0,2,0,0,0,0,0,32,2,3
