"","src_username","dst_username","mean_forward_time","mode_forward_time","sd_forward_time","n_records","ratio_below_t","left_ratio","bar_color"
"80","jiznimorava","aliancenarodnichsil",4.99341081086989,6,0.873486846737772,13,0,0,"grey"
"81","jiznimorava","jarek53",3.41459589264531,2.5,1.18919364915223,21,0.380952380952381,1.72438904784589,"darkgreen"
"82","jiznimorava","jiznimorava",5.27549881499446,4.5,1.10671279333063,146,0.0136986301369863,2.25567656922547,"darkgreen"
"83","jiznimorava","zbylin",4.9903245265794,4.5,0.869535496962793,10,0,0,"grey"
"84","ksbspravy","kanalklubunekonvencnemysliacich",3.76042112752776,5,1.39808774093591,8,0.25,1.36126497593008,"grey"
"85","ksbspravy","smebratia",3.29492186883934,3.5,0.828050129974908,10,0.2,1.18673579244098,"grey"
"86","milan_uhrik","mimisramova",3.1722220488747,4,0.842168053895477,52,0.211538461538462,0.996056293447332,"darkgreen"
"87","milan_uhrik","slovanskenoviny",3.61067429215444,4,0.505998036913452,6,0,0,"grey"
"88","milan_uhrik","vsetkyspravy",3.86307204381664,4,0.789679345468715,25,0.08,1.89735459957704,"darkgreen"
"89","mimisramova","MGzpravy",4.79278980094398,5,0.275711511087275,5,0,0,"grey"
"90","mimisramova","casusbellilive",3.05271147808189,3.5,0.6259494385898,15,0.333333333333333,1.76723145424424,"grey"
"91","mimisramova","investigativnyblogSK",2.8686490348864,3,0.629221580486043,1180,0.277118644067797,0.993336156601475,"darkgreen"
"92","mimisramova","kanalklubunekonvencnemysliacich",4.33578464510317,5,0.798019475578786,134,0.0522388059701493,4.87663841819831,"red"
"93","mimisramova","ksbspravy",3.31219575433394,4,0.894756841219271,20,0.35,1.92296072070732,"darkgreen"
"94","mimisramova","pravdavzdyvitazi",3.1176434884137,3.5,0.722010219004128,5,0.2,1.0196221411626,"grey"
"95","mimisramova","slovanskenoviny",2.95181205745759,3.5,0.921605051678067,225,0.333333333333333,1.06844335419621,"darkgreen"
"96","mimisramova","smebratia",2.98677598140462,3,0.790674764937979,606,0.275577557755776,1.02420821655424,"darkgreen"
"97","mimisramova","vsetkyspravy",3.23142830459701,4.5,1.01403341543123,345,0.27536231884058,1.16995899458766,"darkgreen"
"98","neCT24","LussiList",3.68425204534815,4,0.605189619766566,8,0.125,4.96350002990273,"grey"
"99","neCT24","MGzpravy",3.72396802654611,4.5,0.783776881523891,72,0.0972222222222222,1.6426055209709,"darkgreen"
"100","neCT24","SvetKolemNas",3.67579631855281,4.5,1.05178247060485,7,0.142857142857143,1.08386795839501,"grey"
"101","neCT24","aliancenarodnichsil",3.79083789567722,5,0.998566804545436,160,0.125,1.27474211223666,"darkgreen"
"102","neCT24","coNemateVedet",3.34065021875176,3.5,0.791746749623469,390,0.158974358974359,1.10268040952953,"darkgreen"
"103","neCT24","investigativnyblogSK",3.73398228906009,4,0.639714319065079,53,0,0,"darkgreen"
"104","neCT24","jarek53",4.67933291124239,4.5,0.666172989855712,5,0,0,"grey"
"105","neCT24","kanalklubunekonvencnemysliacich",2.8707263611558,3.5,0.812449854904611,24,0.291666666666667,0.899970486608188,"darkgreen"
"106","neCT24","mimisramova",3.13900674440088,3.5,0.840198276291466,255,0.231372549019608,1.03538561150998,"darkgreen"
"107","neCT24","pravdavzdyvitazi",4.39817224384849,5,0.554242483400029,12,0,0,"grey"
"108","neCT24","smebratia",3.71172649811658,4,0.828029492573114,21,0.0952380952380952,1.32863907493119,"darkgreen"
"109","neCT24","vsetkyspravy",3.090109047077,3,0.973189229198453,40,0.275,1.0105248679296,"darkgreen"
"110","pravdavzdyvitazi","MGzpravy",4.24455379329985,4.5,0.460192490735415,5,0,0,"grey"
"111","pravdavzdyvitazi","investigativnyblogSK",4.21545969303671,4,0.50009899255185,6,0,0,"grey"
"112","pravdavzdyvitazi","kanalklubunekonvencnemysliacich",3.56185389711153,4,0.768548036476675,7,0,0,"grey"
"113","pravdavzdyvitazi","pravdavzdyvitazi",4.66067986545078,4.5,1.03756461176241,59,0,0,"darkgreen"
"114","pravdavzdyvitazi","slovanskenoviny",3.07784591186876,3.5,0.909003234181778,93,0.268817204301075,1.02410979126918,"darkgreen"
"115","pravdavzdyvitazi","smebratia",4.23391501981893,4,0.683154101155735,10,0,0,"grey"
"116","pravdavzdyvitazi","tvotv_sk",2.51337732038672,2.5,0.733065465680864,5,0.8,1.6236391491385,"grey"
