"message_id","F09F918D","F09F9881","E29DA4","F09F918F","F09F918E","F09FA4A3","F09FA494","F09FA4B7","other"
119281,109,0,2,0,0,0,0,0,1
124418,109,13,5,5,0,1,0,0,0
124507,109,0,31,5,0,0,0,0,0
125823,109,0,0,7,0,0,0,0,0
132997,109,0,1,0,0,32,0,0,0
139053,109,0,0,2,1,5,8,0,31
143447,109,0,36,1,0,1,0,0,0
144588,109,0,25,7,0,2,0,0,0
146635,109,0,0,0,0,0,0,0,0
146823,109,0,19,5,0,0,0,0,0
113917,108,33,32,0,0,0,0,0,1
117129,108,1,6,23,0,4,0,0,0
118111,108,0,4,14,0,0,0,0,0
119033,108,5,19,1,0,0,2,0,0
120627,108,0,12,0,0,0,4,0,0
122035,108,0,15,0,0,0,2,0,5
122383,108,0,19,6,0,0,0,0,0
125870,108,0,31,25,0,0,0,0,0
126050,108,24,5,2,0,0,0,0,0
132909,108,0,12,21,0,0,0,0,0
137772,108,2,19,0,0,0,0,0,0
138278,108,0,17,3,0,4,7,0,0
139964,108,0,18,0,0,0,1,0,0
146476,108,0,19,18,0,0,0,0,0
146540,108,0,8,0,0,2,0,0,0
115033,107,0,6,2,0,1,4,0,38
116772,107,0,15,22,0,0,0,0,0
119529,107,0,50,0,0,1,0,0,0
120524,107,0,28,0,0,0,0,0,0
121199,107,4,0,7,0,1,13,0,1
121217,107,0,13,10,0,1,0,0,0
124650,107,2,0,8,0,10,0,0,0
125322,107,0,25,0,0,0,5,0,0
125485,107,0,12,4,0,1,3,0,0
127714,107,0,11,25,0,0,0,0,0
129435,107,0,7,13,0,2,0,0,0
130006,107,0,14,0,0,0,0,0,0
133298,107,0,3,2,0,14,0,0,0
137550,107,0,0,1,1,0,9,0,9
138525,107,0,33,0,0,3,0,1,0
146386,107,0,4,0,0,0,0,0,0
115654,106,5,0,7,0,0,0,0,0
116733,106,0,1,0,0,0,0,0,0
119011,106,0,13,8,0,0,0,0,0
119224,106,0,29,0,0,0,0,0,0
120448,106,0,40,0,0,0,0,0,0
122046,106,0,3,0,0,0,11,0,0
123555,106,0,3,22,0,1,2,0,0
