"","message_id","hex_u_emo","count","Emoji","Unicode.codepoint","Occurrences","Position","Negative","Neutral","Positive","Substituted","negative_norm","neutral_norm","positive_norm","neutral","positive","negative"
"3723",90836,"E29DA4",14,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,2.32,11.0626086956522,0.617391304347826
"3724",90836,"F09F918D",31,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,7.69147788565264,19.7470334412082,3.56148867313916
"3725",90838,"E29DA4",31,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,5.13714285714286,24.4957763975155,1.36708074534161
"3726",90838,"F09F918D",7,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,1.73678532901834,4.45900755124056,0.8042071197411
"3727",90839,"E29DA4",36,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,5.96571428571429,28.4467080745342,1.58757763975155
"3728",90839,"F09F918D",7,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,1.73678532901834,4.45900755124056,0.8042071197411
"3729",90840,"E29DA4",31,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,5.13714285714286,24.4957763975155,1.36708074534161
"3730",90840,"F09F918D",11,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,2.72923408845739,7.00701186623517,1.26375404530744
"3731",90841,"E29DA4",22,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,3.64571428571429,17.384099378882,0.970186335403727
"3732",90841,"F09F918D",8,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,1.9848975188781,5.09600862998921,0.919093851132686
"3733",90842,"E29DA4",31,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,5.13714285714286,24.4957763975155,1.36708074534161
"3734",90842,"F09F918D",7,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,1.73678532901834,4.45900755124056,0.8042071197411
"3735",90843,"E29DA4",34,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,5.63428571428571,26.8663354037267,1.49937888198758
"3736",90843,"F09F918D",7,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,1.73678532901834,4.45900755124056,0.8042071197411
"3737",90844,"F09F918D",31,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,7.69147788565264,19.7470334412082,3.56148867313916
"3738",90845,"F09F918D",37,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,9.18015102481122,23.5690399137001,4.25080906148867
"3739",90846,"E29DA4",1,"❤",10084,8050,0.746943086,355,1334,6361,"",0.0440993788819876,0.165714285714286,0.790186335403727,0.165714285714286,0.790186335403727,0.0440993788819876
"3740",90846,"F09F918D",50,"👍",128077,1854,0.812125626,213,460,1181,"",0.114886731391586,0.248112189859763,0.637001078748652,12.4056094929881,31.8500539374326,5.74433656957929
"3741",90846,"F09F9881",1,"😁",128513,2189,0.796151187,278,648,1263,"",0.126998629511192,0.296025582457743,0.576975788031064,0.296025582457743,0.576975788031064,0.126998629511192
"3742",90847,"F09F98B1",30,"😱",128561,1130,0.773313178,298,319,513,"",0.263716814159292,0.282300884955752,0.453982300884956,8.46902654867257,13.6194690265487,7.91150442477876
